audio_recording_id,start_time_seconds,end_time_seconds,low_frequency_hertz,high_frequency_hertz,tags,Powerful owl,Barking owl,Southern boobook,Eastern barn owl,Masked owl,Other birds,Koala,Possum,Insects,Frogs,Car,Nothing,Wind / rain,Something else
30521,1563,1573,0,11025,116:wind|117:rain,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
30521,6365,6375,0,11025,107:Southern Boobook,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
30521,2033,2043,0,11025,116:wind|117:rain,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
30521,1563,1573,0,11025,116:wind|117:rain,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
30521,543,553,0,11025,104:Car,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO
30521,543,553,0,11025,104:Car,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO
30521,1563,1573,0,11025,116:wind|117:rain,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
30521,1563,1573,0,11025,104:Car,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO
30521,543,553,0,11025,104:Car,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO
30521,543,553,0,11025,104:Car,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO
30521,6365,6375,0,11025,114:birds,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO
30521,1473,1483,0,11025,106:Barking Owl|107:Southern Boobook,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
30521,6365,6375,0,11025,105:Insects,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO
30521,1638,1648,0,11025,105:Insects,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO
30521,108,118,0,11025,114:birds,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO
30521,1848,1858,0,11025,106:Barking Owl,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES
30521,3423,3433,0,11025,106:Barking Owl,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES
30521,3423,3433,0,11025,106:Barking Owl,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
30521,3423,3433,0,11025,106:Barking Owl,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
30521,5403,5413,0,11025,114:birds,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO
30521,1593,1603,0,11025,114:birds|105:Insects,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO
30521,6273,6283,0,11025,107:Southern Boobook,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES
30521,1833,1843,0,11025,114:birds,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES
30521,5001,5011,0,11025,116:wind|117:rain,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
30521,5838,5848,0,11025,100:Brush-tailed possum,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO
30521,5001,5011,0,11025,107:Southern Boobook,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
30521,6273,6283,0,11025,106:Barking Owl,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
30521,1833,1843,0,11025,106:Barking Owl|114:birds,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO
30521,6273,6283,0,11025,107:Southern Boobook,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
30521,6273,6283,0,11025,114:birds,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO
30521,6273,6283,0,11025,106:Barking Owl,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
30612,3663,3673,0,11025,105:Insects,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES
30811,3009,3019,0,11025,116:wind|117:rain,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
30811,2693,2703,0,11025,105:Insects|116:wind|117:rain,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO
30811,937,947,0,11025,105:Insects,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO
30811,7005,7015,0,11025,116:wind|117:rain,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
30811,1489,1499,0,11025,104:Car,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES
30811,1489,1499,0,11025,104:Car,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES
30811,1601,1611,0,11025,108:Eastern Barn Owl,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
30811,1489,1499,0,11025,104:Car,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES
